student_id,attendance,study_hours,assignment_score,previous_marks,sleep_hours,participation,final_marks
1045,52.8,8.8,56.0,49.6,6.4,5,55.0
1046,64.2,8.6,42.5,40.4,7.3,3,37.1
1047,68.1,1.0,69.8,60.5,7.4,3,58.3
1048,90.9,9.7,47.3,47.7,6.7,1,47.1
1049,80.2,8.8,69.1,63.7,6.1,3,61.1
1050,48.6,13.5,50.8,35.1,6.2,1,51.7
1051,79.9,19.2,57.8,65.3,5.9,3,66.5
1052,69.2,15.6,80.0,73.3,6.0,5,67.7
1053,64.8,8.7,35.1,28.1,6.9,3,39.2
1054,84.2,4.5,69.9,66.0,,1,72.6
1055,90.5,22.9,77.3,79.6,7.8,2,76.2
1056,89.0,10.3,45.3,40.6,8.8,3,49.8
1057,62.4,10.1,83.8,86.8,6.3,3,79.0
1058,70.4,9.9,61.5,66.7,7.3,4,69.7
1059,80.0,11.0,56.5,48.7,7.6,4,57.4
1060,89.6,9.3,61.5,59.1,7.6,3,59.1
1061,67.8,7.1,63.5,68.9,7.1,2,69.6
1062,72.2,7.3,66.7,61.2,7.9,2,66.9
1063,58.4,9.8,70.3,68.6,7.6,1,64.8
1064,57.1,7.3,39.5,45.3,5.5,2,41.1
1065,87.2,6.4,71.1,62.7,8.0,3,65.2
1066,95.3,10.5,36.2,37.4,8.1,3,51.7
1067,73.9,8.7,66.9,58.2,6.1,3,62.1
1068,90.1,17.5,61.2,45.5,7.0,1,70.1
1069,80.4,1.0,45.9,48.2,7.8,2,52.6
1070,65.3,15.5,66.8,79.8,6.7,2,65.9
1071,80.4,16.2,60.4,77.5,8.3,2,77.6
1072,98.1,1.0,63.3,69.7,9.8,4,66.6
1073,74.5,8.3,49.0,42.5,6.1,1,53.5
1074,98.5,8.1,63.3,54.9,5.3,3,70.4
1075,35.7,3.0,79.5,79.4,7.4,2,53.9
1076,87.3,6.1,71.6,62.3,7.9,4,65.0
1077,76.3,4.4,74.3,97.1,6.7,3,72.2
1078,70.5,18.8,61.6,66.3,8.7,2,61.2
1079,76.4,14.7,48.9,63.1,5.4,3,63.6
1080,45.2,16.4,51.5,55.1,7.8,3,63.3
1081,71.7,13.6,68.3,62.1,6.3,5,57.6
1082,80.4,4.4,70.9,57.6,9.1,2,60.4
1083,97.2,7.4,56.4,71.3,9.4,4,70.3
1084,67.2,12.4,63.2,75.3,6.1,5,66.9
1085,62.9,3.9,53.5,47.4,6.3,5,47.6
1086,67.5,13.6,51.5,38.7,8.0,3,46.2
1087,88.7,8.8,39.2,30.6,6.5,3,48.9
1088,79.9,8.1,67.2,68.1,6.9,3,62.5
1089,67.1,13.6,47.6,42.3,7.0,4,42.9
1090,82.7,12.2,42.7,25.6,4.7,3,52.4
1091,76.5,8.2,67.2,66.2,7.0,3,67.8
1092,89.5,15.8,79.0,98.0,6.2,3,86.1
1093,64.5,4.6,56.7,59.9,6.4,3,54.9
1094,70.1,13.1,65.9,73.4,8.7,4,71.8
1095,69.1,13.0,60.0,61.3,5.5,1,62.4
1096,53.0,8.5,56.4,58.4,8.0,4,56.5
1097,79.4,11.6,65.4,74.7,6.7,3,68.1
1098,78.9,3.7,69.7,55.4,6.7,4,64.0
1099,75.1,14.6,66.3,64.3,7.9,3,67.9
1100,71.5,9.1,60.4,65.1,7.4,2,62.0
1101,53.8,7.4,59.9,49.3,7.7,5,45.0
1102,68.7,15.2,65.4,75.9,8.2,2,70.4
1103,69.9,6.5,67.4,57.2,6.6,4,54.9
1104,63.0,,56.7,47.9,6.3,3,45.9
1105,72.6,2.2,63.5,68.6,5.7,3,56.1
1106,81.1,13.0,56.2,45.6,6.0,2,53.8
1107,100.0,3.6,48.4,60.5,10.0,3,68.9
1108,77.6,18.8,51.5,59.9,8.5,2,69.8
1109,78.9,1.0,59.7,77.4,5.4,1,70.0
1110,73.9,18.5,64.9,67.6,5.4,2,64.5
1111,46.2,11.1,72.8,59.6,7.6,1,57.5
1112,74.6,9.5,83.3,73.1,7.7,5,65.6
1113,75.9,7.3,75.9,82.2,7.7,5,68.3
1114,100.0,12.0,68.2,68.9,6.7,2,69.7
1115,72.1,9.8,46.6,60.2,6.8,3,61.6
1116,79.5,15.5,45.4,39.0,7.4,2,52.6
1117,74.5,10.6,45.6,43.0,7.1,3,55.7
1118,57.5,10.8,52.9,55.1,4.3,4,55.8
1119,92.1,8.2,53.9,50.2,6.7,5,68.2
1120,86.3,9.7,55.0,57.0,6.0,3,55.2
1121,86.9,11.5,45.6,60.9,7.2,4,66.4
1122,61.4,1.4,69.8,68.5,10.0,2,62.2
1123,96.0,3.3,51.4,58.9,7.4,5,55.5
1124,54.0,13.7,65.7,67.8,6.6,1,65.9
1125,83.8,10.9,76.1,61.0,8.1,3,69.2
1126,100.0,9.1,37.3,28.4,7.6,3,48.8
1127,60.1,10.1,33.5,45.0,7.5,3,41.9
1128,66.5,11.7,56.7,57.7,7.7,1,55.2
1129,76.5,7.3,58.6,40.6,9.5,5,60.6
1130,67.4,6.1,79.5,69.6,5.6,2,64.8
1131,51.7,11.0,63.0,84.5,7.6,3,68.0
1132,76.0,5.1,73.5,79.5,5.9,2,65.1
1133,59.1,12.0,54.8,56.6,7.7,2,52.4
1134,82.1,1.5,71.1,83.9,5.9,3,72.9
1135,61.2,15.1,81.0,62.4,6.5,3,61.1
1136,98.2,12.4,46.0,54.6,6.6,2,60.9
1137,63.3,11.3,57.0,50.2,8.2,2,54.5
1138,70.2,14.9,61.1,55.2,8.1,3,61.5
1139,87.2,18.3,65.0,53.8,5.5,4,67.2
1140,56.5,15.1,62.1,62.7,7.1,4,62.2
1141,78.4,1.0,63.6,62.6,6.1,1,60.8
1142,94.6,3.6,57.1,60.0,5.5,2,64.0
1143,50.9,6.9,65.5,67.0,6.7,1,52.7
1144,77.8,10.1,67.0,79.1,6.6,1,68.8
1145,78.9,12.6,72.3,75.2,9.9,3,76.4
1146,86.7,6.4,45.3,36.2,7.5,3,53.1
1147,56.4,10.9,42.8,20.0,5.3,2,32.9
1148,55.2,6.2,67.3,74.9,6.3,2,62.0
1149,82.8,6.9,57.5,38.1,8.2,1,44.7
1150,79.5,3.0,57.8,56.4,9.5,4,56.0
1151,78.8,5.4,37.3,41.3,5.1,5,54.3
1152,80.2,3.2,55.0,31.2,4.7,1,42.9
1153,64.8,5.1,57.5,68.7,9.2,2,54.4
1154,78.5,15.3,61.2,72.1,7.5,4,72.4
1155,79.4,5.3,50.9,50.8,6.0,5,47.3
1156,64.3,23.2,50.3,20.0,7.6,3,47.0
1157,100.0,12.5,39.6,51.3,4.0,1,62.7
1158,82.1,10.9,86.7,66.3,7.0,1,69.4
1159,57.1,5.7,56.1,36.3,7.4,3,43.5
1160,84.8,13.5,63.1,62.9,8.1,2,70.1
1161,60.4,7.1,59.5,59.8,5.8,1,56.8
1162,86.8,10.6,66.8,69.3,7.1,3,70.1
1163,92.4,22.8,64.9,61.9,5.9,1,73.3
1164,62.7,9.5,57.1,44.4,7.3,4,52.7
1165,89.5,15.7,73.7,79.1,5.9,2,77.5
1166,81.2,6.5,59.4,57.5,6.5,1,61.0
1167,87.3,9.8,58.3,59.6,5.8,3,61.2
1168,100.0,18.9,51.4,45.1,7.8,2,64.2
1169,71.3,6.9,55.0,52.9,8.0,5,50.3
1170,63.7,19.1,61.4,45.8,6.7,3,58.6
1171,61.7,13.5,63.1,57.2,7.0,2,56.1
1172,62.8,7.2,51.6,87.4,5.3,3,59.0
1173,73.8,13.2,53.9,38.0,,2,54.2
1174,80.1,14.9,48.6,34.2,6.9,5,53.9
1175,79.2,13.1,71.6,83.5,10.0,2,77.9
1176,87.4,2.1,55.4,56.7,5.7,3,55.1
1177,75.2,6.4,63.1,49.3,8.8,1,57.3
1178,96.8,8.8,75.4,76.6,8.2,3,77.3
1179,71.0,9.6,49.4,50.3,7.3,4,55.3
1180,100.0,13.1,77.7,89.2,9.1,4,80.2
1181,84.4,10.9,58.1,70.8,7.4,2,67.6
1182,62.1,3.3,45.7,52.2,7.5,2,48.7
1183,58.9,11.9,72.6,94.5,6.9,4,73.1
1184,82.2,13.1,61.6,50.3,8.5,5,53.1
1185,71.6,12.8,73.1,71.9,8.3,1,69.7
1186,85.7,15.4,66.2,64.8,6.2,3,78.8
1187,82.1,14.2,75.9,80.8,5.4,2,74.8
1188,73.9,12.3,76.4,85.0,6.8,4,71.8
1189,62.3,9.6,55.4,60.5,6.0,1,57.9
1190,52.3,1.7,57.2,47.9,6.9,2,46.4
1191,68.3,12.1,69.7,67.4,8.5,4,70.1
1192,87.8,11.0,60.2,49.2,6.5,1,55.8
1193,78.2,11.4,85.0,92.2,6.9,3,82.8
1194,56.3,3.6,66.4,62.2,7.1,3,57.0
1195,77.6,4.6,59.7,54.2,8.0,2,55.5
1196,80.8,15.3,69.5,63.0,4.3,2,70.1
1197,61.7,9.8,49.0,38.4,6.3,3,51.1
1198,77.3,13.4,45.6,44.5,7.3,2,57.8
1199,75.9,10.1,68.4,79.2,8.4,3,65.3
1200,57.9,10.1,49.2,49.5,6.4,4,53.4
1201,80.4,14.7,46.6,43.2,4.7,4,55.4
1202,83.4,7.4,63.2,68.6,7.7,2,65.4
1203,91.2,10.5,63.5,79.0,6.2,1,72.9
1204,90.8,7.7,63.4,71.5,5.6,2,67.6
1205,54.3,7.8,53.8,75.9,6.3,2,63.1
1206,60.9,8.5,55.5,47.9,6.8,3,50.6
1207,82.7,11.1,48.6,37.3,6.3,3,48.1
1208,82.7,7.6,65.9,84.0,4.4,1,69.5
1209,82.7,16.3,62.4,54.8,8.1,1,65.9
1210,100.0,5.5,65.0,56.0,8.5,2,69.1
1211,83.6,9.1,58.6,81.3,7.8,3,71.8
1212,92.0,7.8,58.7,68.9,5.6,2,63.1
1213,89.3,17.2,57.9,67.3,6.8,3,80.6
1214,84.8,11.0,70.3,94.6,7.0,2,79.5
1215,70.3,15.2,61.1,49.7,7.7,4,64.4
1216,86.4,2.6,66.0,74.8,7.8,4,65.2
1217,63.4,11.3,58.5,60.9,6.1,2,60.7
1218,71.4,14.4,47.1,64.3,7.1,2,64.2
1219,67.7,10.4,77.0,84.5,7.5,3,76.9
1220,76.2,15.3,54.8,68.1,8.7,2,70.0
1221,100.0,7.4,64.8,68.6,7.8,3,73.1
1222,47.0,17.0,70.7,77.2,7.9,4,65.4
1223,85.3,21.5,67.3,54.2,7.1,3,67.7
1224,50.8,8.2,43.5,46.6,8.7,4,46.1
1225,67.9,7.8,29.0,43.3,7.5,2,47.8
1226,91.3,17.3,45.6,28.5,6.0,2,53.7
1227,76.0,17.9,90.0,92.9,8.7,3,89.0
1228,58.8,7.4,60.5,42.3,7.8,2,54.9
1229,64.3,7.9,59.8,56.5,6.5,3,51.9
1230,85.2,8.6,54.1,55.6,6.4,2,56.1
1231,64.0,3.3,68.5,64.9,7.4,1,57.3
1232,78.2,5.4,59.2,73.1,,5,64.4
1233,75.7,5.0,70.5,73.8,7.2,2,63.2
1234,65.2,6.2,59.1,50.7,7.4,5,57.9
1235,100.0,9.8,66.6,57.3,9.0,5,69.3
1236,84.5,11.2,83.0,64.5,8.3,4,71.3
1237,44.6,17.8,61.0,56.0,7.2,3,50.9
1238,77.8,5.0,69.0,85.7,8.1,3,64.5
1239,65.1,14.9,63.7,67.9,5.8,4,66.0
1240,87.8,,52.6,71.8,7.5,2,57.0
1241,63.1,9.8,60.1,70.6,9.2,3,65.4
1242,73.3,13.4,66.3,78.8,6.7,3,69.9
1243,82.6,4.4,57.5,62.9,6.0,3,72.6
1244,88.0,11.9,50.8,39.3,6.2,3,64.8
1245,57.0,10.8,57.0,66.4,5.7,2,57.5
1246,70.0,12.5,63.2,49.6,6.1,3,57.7
1247,67.9,11.4,55.8,51.5,6.6,4,59.8
1248,65.2,22.3,64.6,69.4,5.3,2,76.9
1249,100.0,6.8,67.4,79.8,7.0,5,67.3
1250,81.1,7.3,61.3,60.3,8.1,3,54.0
1251,56.1,6.9,68.7,64.9,5.9,4,55.6
1252,88.8,7.2,67.1,87.2,8.8,3,76.2
1253,100.0,,57.0,63.9,7.6,4,67.7
1254,90.5,15.9,76.7,98.0,8.2,1,89.9
1255,52.2,17.1,54.4,69.0,6.2,4,56.3
1256,67.7,7.1,39.8,31.8,8.0,1,33.0
1257,94.0,5.8,62.5,72.1,5.7,4,71.3
1258,64.4,12.4,69.6,66.1,8.1,5,60.7
1259,81.7,7.2,72.3,80.6,7.2,2,63.0
1260,86.6,13.2,66.8,70.8,7.7,2,71.6
1261,61.1,11.0,65.3,57.8,5.6,4,61.6
1262,74.1,2.4,49.2,40.4,5.9,2,45.9
1263,35.0,17.7,61.3,56.7,7.7,4,52.7
1264,59.6,,52.4,46.4,5.9,1,55.0
1265,71.2,6.9,57.3,50.7,7.6,1,52.6
1266,56.3,8.1,60.3,69.4,5.4,5,52.9
1267,99.5,11.4,55.1,86.7,8.0,3,73.0
1268,53.5,11.7,62.2,66.3,5.5,4,61.2
1269,68.4,13.3,61.1,40.9,7.7,2,55.9
1270,77.0,20.1,70.5,67.1,7.8,3,73.1
1271,96.6,9.1,76.8,79.1,6.2,3,72.5
1272,53.5,6.0,64.4,50.2,7.7,3,49.9
1273,92.4,3.1,59.6,57.9,7.3,3,51.4
1274,75.2,6.3,61.6,60.2,6.4,3,59.8
1275,60.3,9.8,49.1,47.4,5.8,3,55.6
1276,81.9,19.0,62.8,70.4,4.6,2,66.3
1277,78.0,7.4,63.7,58.1,7.4,4,57.8
1278,66.0,11.1,72.4,66.7,5.1,2,65.9
1279,76.0,9.9,51.9,45.8,7.1,3,59.0
1280,69.2,15.9,53.1,53.0,6.7,2,56.9
1281,76.7,22.6,65.8,71.6,7.8,3,71.5
1282,84.9,7.3,61.5,54.0,6.6,3,52.1
1283,98.8,7.6,63.0,87.6,6.6,2,76.1
1284,56.4,15.2,39.6,53.6,7.9,1,60.1
1285,100.0,13.4,57.7,63.6,7.4,1,70.8
1286,45.7,19.2,58.3,74.9,7.4,3,63.7
1287,72.7,12.9,44.8,37.3,7.6,4,51.5
1288,83.8,8.2,44.8,31.8,5.2,1,48.2
1289,79.2,13.0,44.4,35.6,7.9,3,47.9
1290,65.7,15.5,81.0,80.2,7.7,2,77.4
1291,71.9,14.1,58.0,51.2,5.8,3,59.8
1292,67.6,12.5,81.3,98.0,6.7,5,79.1
1293,66.2,15.3,60.2,51.0,7.0,2,54.7
1294,87.7,15.8,52.9,63.0,6.8,3,71.9
1295,80.4,16.9,80.1,84.7,7.4,1,82.6
1296,64.6,13.2,75.5,92.1,8.7,1,73.0
1297,88.5,9.2,81.5,93.0,8.3,2,84.6
1298,79.6,10.7,61.6,79.3,5.4,1,67.5
1299,87.2,16.0,56.5,76.4,7.7,3,69.2
1300,84.4,5.9,70.9,69.5,8.6,3,63.7
1301,62.6,11.8,69.0,72.5,7.5,3,58.3
1302,66.6,8.0,48.8,51.2,8.3,2,53.5
1303,86.2,10.1,46.9,46.9,9.4,2,48.5
1304,84.2,16.4,68.4,59.9,8.2,3,64.0
1305,74.7,11.0,49.7,57.3,7.3,5,49.4
1306,76.8,10.2,68.7,52.7,8.3,1,60.6
1307,94.2,3.2,58.8,71.1,7.2,4,64.5
1308,66.1,13.7,72.4,75.3,7.0,3,67.9
1309,83.2,13.2,58.2,61.4,6.6,3,60.6
1310,72.0,20.8,76.3,83.6,8.9,3,74.2
1311,71.7,8.5,46.8,41.7,6.0,1,51.2
1312,91.5,11.1,57.2,56.9,8.8,1,61.5
1313,87.4,11.2,54.6,48.5,7.6,3,60.5
1314,87.2,,37.6,30.1,5.3,2,48.9
1315,94.6,9.5,64.9,58.7,7.4,5,66.8
1316,75.3,11.4,55.2,58.1,4.5,3,65.0
1317,85.2,13.0,70.4,84.2,7.8,1,78.5
1318,70.3,10.9,57.6,70.1,8.1,3,61.4
1319,79.9,7.8,32.6,43.6,6.3,2,49.1
1320,73.0,11.0,73.4,89.7,7.1,3,73.6
1321,76.5,15.4,87.9,79.5,9.3,3,78.2
1322,83.9,4.9,70.5,69.3,6.4,5,64.5
1323,62.7,10.7,58.0,56.4,5.7,4,55.7
1324,100.0,6.5,50.4,44.6,8.8,3,58.0
1325,59.9,16.0,57.2,54.0,9.4,3,53.8
1326,56.8,2.4,72.8,77.4,7.0,5,56.9
1327,92.4,7.2,66.2,90.2,8.2,2,70.0
1328,86.9,11.9,80.7,84.7,,1,72.3
1329,84.4,17.8,61.5,52.2,6.1,2,60.5
1330,84.4,9.7,56.4,42.1,6.4,2,56.4
1331,74.8,7.2,64.4,62.3,8.5,3,57.4
1332,61.5,19.4,46.0,31.7,9.0,3,51.7
1333,76.1,2.8,67.6,65.2,7.7,3,60.5
1334,64.8,1.0,63.3,57.6,5.9,1,44.9
1335,89.6,12.2,53.6,52.5,9.4,3,64.1
1336,72.8,7.5,42.9,34.5,6.4,2,48.7
1337,62.6,4.9,64.9,68.2,6.6,3,54.7
1338,70.2,13.5,67.4,51.5,7.4,3,62.2
1339,81.2,11.2,41.3,41.3,8.9,2,48.4
1340,66.5,,29.0,20.0,8.0,1,35.6
1341,62.7,3.6,61.0,59.6,7.5,1,48.9
1342,78.7,14.4,74.6,88.4,7.6,4,70.7
1343,78.7,13.3,74.6,86.6,7.1,5,75.0
1344,67.4,9.5,58.2,52.7,7.7,3,55.0
1345,67.9,19.2,53.5,50.4,4.0,1,57.9
1346,78.5,4.6,74.9,67.5,6.6,3,60.0
1347,53.3,2.4,40.0,44.0,7.3,3,38.6
1348,53.9,6.5,56.2,64.8,5.6,4,55.2
1349,64.2,9.8,65.4,72.3,7.5,1,63.4
1350,71.8,11.2,57.5,79.6,6.8,1,67.7
1351,79.7,8.8,57.9,58.4,9.1,3,57.4
1352,97.1,11.8,70.8,56.7,8.9,2,73.6
1353,87.9,3.7,53.1,46.0,6.4,2,48.9
1354,72.6,17.2,55.1,46.8,6.8,1,60.6
1355,74.7,9.6,48.7,56.4,6.9,3,61.1
1356,60.0,15.6,58.3,65.9,6.5,4,63.9
1357,74.7,11.7,64.5,74.6,7.2,5,67.1
1358,70.7,12.3,51.2,47.1,6.1,3,52.2
1359,79.8,12.8,81.6,83.9,5.6,3,81.6
1360,62.6,12.2,62.0,55.7,7.7,1,52.3
1361,82.8,13.2,51.5,59.7,7.8,3,58.5
1362,98.0,16.6,55.9,48.0,6.0,2,63.7
1363,73.4,11.0,44.3,21.2,8.1,3,48.4
1364,81.0,13.5,75.6,74.1,6.2,2,74.8
1365,85.4,9.6,77.7,71.8,7.3,2,67.8
1366,69.0,17.2,50.1,55.5,8.0,1,58.3
1367,78.4,6.6,54.5,61.1,7.0,2,56.1
1368,75.2,19.0,54.7,68.3,7.5,1,64.9
1369,76.5,9.8,45.7,35.0,6.4,2,52.6
1370,63.4,2.8,59.3,51.5,6.8,5,44.9
1371,75.4,10.6,73.8,72.7,6.8,3,75.5
1372,82.5,6.6,49.4,39.9,6.1,3,54.2
1373,96.8,14.2,59.9,64.7,6.8,4,74.7
1374,89.4,6.7,50.3,38.3,5.1,5,50.5
1375,100.0,7.8,57.5,67.5,6.4,3,67.0
1376,63.5,1.0,75.4,59.4,6.7,4,50.4
1377,88.1,7.7,35.0,34.2,6.7,2,45.3
1378,77.8,1.0,70.7,78.6,6.7,2,67.2
1379,100.0,2.1,69.3,48.2,6.9,3,65.6
1380,62.9,13.8,53.6,47.0,7.6,3,49.4
1381,62.4,13.9,60.2,63.2,8.0,3,59.7
1382,66.0,12.1,66.5,78.4,6.2,2,67.2
1383,43.1,5.2,50.5,43.7,5.6,1,36.2
1384,67.1,9.8,70.8,61.0,5.7,3,64.0
1385,63.6,10.0,46.8,66.9,6.4,1,54.1
1386,77.3,4.2,77.0,71.1,6.6,3,65.2
1387,80.1,17.5,50.7,62.8,6.1,3,63.4
1388,100.0,14.4,55.1,54.1,5.4,3,63.2
1389,89.3,8.9,50.2,46.8,6.5,4,56.5
1390,66.3,10.1,65.1,61.4,7.2,4,59.6
1391,61.5,11.0,39.4,42.8,7.7,3,45.4
1392,82.4,1.0,43.5,20.0,6.3,3,36.1
1393,55.2,8.8,78.7,67.0,6.5,3,63.4
1394,100.0,6.6,57.0,74.5,5.9,2,75.9
1395,92.7,5.0,42.5,22.2,7.0,1,45.1
1396,68.0,8.6,47.0,43.8,6.0,2,53.2
1397,49.3,,68.1,69.9,7.7,3,59.7
1398,95.3,13.2,76.6,92.9,4.9,3,84.1
1399,73.3,7.1,55.4,60.3,6.6,4,53.2
1400,93.6,12.9,57.8,48.4,7.4,2,56.6
1401,51.1,17.0,72.1,57.1,7.2,1,58.0
1402,66.0,14.6,69.6,82.0,10.0,5,76.1
1403,75.1,10.3,60.2,49.7,7.4,1,61.2
1404,75.7,6.8,43.9,47.2,5.8,3,51.5
1405,68.2,13.5,49.0,52.3,6.9,3,49.6
1406,84.3,12.0,55.9,44.7,4.9,3,57.1
1407,59.0,14.5,72.1,62.0,6.9,1,64.4
1408,72.9,13.2,75.7,86.0,6.0,1,75.8
1409,76.8,15.2,60.2,65.2,8.1,1,58.8
1410,82.7,7.3,58.0,56.0,6.3,3,55.6
1411,85.7,16.6,48.3,55.3,6.9,3,62.6
1412,58.1,11.0,52.0,35.0,6.2,2,48.5
1413,52.0,20.4,73.7,74.1,9.1,3,60.8
1414,94.2,6.6,56.0,58.8,6.6,4,61.4
1415,80.0,18.7,55.0,57.1,9.2,1,65.5
1416,63.8,11.0,81.0,98.0,8.0,3,80.5
1417,98.3,6.7,59.1,64.8,7.6,3,68.8
1418,76.7,7.6,53.5,48.0,7.4,2,56.2
1419,92.7,8.4,72.3,53.2,7.5,2,61.7
1420,76.0,12.1,67.3,78.4,4.7,3,62.9
1421,100.0,12.6,58.2,61.8,6.7,4,67.2
1422,100.0,7.1,43.6,37.0,8.0,4,57.1
1423,71.3,9.9,72.9,74.7,6.9,3,73.7
1424,89.6,20.7,53.3,49.3,5.3,3,68.2
1425,84.7,18.6,70.1,90.0,6.9,2,83.1
1426,95.5,12.2,78.6,77.3,9.0,3,79.4
1427,60.5,10.2,67.1,52.8,8.5,3,54.3
1428,85.3,10.6,65.7,80.5,6.9,2,71.8
1429,90.9,13.1,46.5,61.1,8.1,3,70.3
1430,48.6,4.9,74.4,73.6,6.6,3,55.7
1431,57.3,8.7,58.7,67.8,5.0,2,64.4
1432,44.4,1.7,59.2,46.5,5.9,5,41.9
1433,71.0,12.0,40.1,49.7,8.9,1,57.7
1434,85.8,13.2,74.9,76.5,6.7,2,69.3
1435,97.5,7.6,48.2,54.6,6.7,1,62.5
1436,76.1,17.9,62.3,53.5,6.6,4,61.1
1437,99.4,3.9,52.5,44.7,9.3,3,50.3
1438,54.3,2.7,56.2,66.8,9.0,2,53.5
1439,49.4,11.1,73.4,93.0,9.7,3,74.0
1440,74.2,15.2,56.6,42.9,6.8,2,53.5
1441,80.8,18.4,61.0,60.4,7.4,4,61.6
1442,74.5,7.7,75.7,82.6,5.2,3,70.7
1443,44.0,15.4,74.2,58.7,8.8,3,59.0
1444,73.7,9.8,51.9,67.2,5.6,5,63.0
1445,55.4,9.1,63.6,43.0,7.3,2,54.1
1446,85.0,14.4,64.2,66.9,5.7,1,69.1
1447,80.5,13.3,51.8,57.0,6.3,3,68.4
1448,60.9,2.1,57.9,75.8,6.0,5,58.4
1449,67.3,17.4,68.1,79.0,6.3,2,70.5
1450,59.1,,85.9,98.0,6.4,1,74.3
1451,74.1,6.9,63.7,69.3,6.3,2,61.8
1452,89.3,12.0,73.9,65.2,8.0,3,69.5
1453,60.2,12.5,50.7,63.1,5.7,2,61.1
1454,82.6,11.3,57.1,54.3,,3,62.6
1455,67.0,7.2,53.3,65.4,8.5,5,52.6
1456,63.1,6.6,60.4,55.3,6.4,3,54.9
1457,73.4,9.9,68.0,62.7,6.1,2,65.9
1458,59.5,15.9,67.4,81.1,6.7,3,75.7
1459,66.7,12.7,32.4,43.9,8.4,1,51.3
1460,57.0,8.1,70.6,78.2,7.2,4,67.2
1461,100.0,13.9,73.8,81.1,6.4,3,80.4
1462,75.5,1.0,62.1,58.1,7.6,2,56.9
1463,64.5,15.7,52.3,26.1,5.7,3,52.8
1464,78.2,1.3,47.1,50.3,7.8,3,44.4
1465,73.3,8.2,75.5,80.8,7.5,3,69.0
1466,71.7,4.4,68.8,59.6,6.6,1,55.5
1467,84.2,3.5,38.7,44.0,6.0,4,49.8
1468,86.4,15.8,58.4,51.9,5.9,5,68.8
1469,67.0,7.7,62.9,73.4,7.6,3,60.4
1470,66.4,11.7,63.8,68.7,8.5,5,54.1
1471,70.9,9.8,60.7,56.2,6.2,2,56.8
1472,40.5,12.4,53.4,54.1,7.6,3,53.5
1473,52.3,10.4,51.8,53.7,4.5,3,53.2
1474,95.5,3.6,52.9,45.2,6.3,3,56.8
1475,99.7,15.0,64.8,85.8,7.0,3,79.0
1476,71.3,,49.3,54.8,5.9,2,48.7
1477,83.6,2.2,74.8,79.5,5.9,1,70.8
1478,79.7,7.9,63.6,84.3,6.2,2,66.7
1479,100.0,17.5,73.0,76.0,7.4,2,89.1
1480,91.8,14.3,60.0,53.1,6.8,3,67.4
1481,73.1,8.3,50.3,66.5,4.3,2,56.7
